Ngay,Ma_CP,Nganh,Gia_Mo_Cua,Gia_Dong_Cua,Gia_Cao_Nhat,Gia_Thap_Nhat,Khoi_Luong_Giao_Dich,Xu_Huong_Thi_Truong,Ty_Suat_Co_Tuc,He_So_P/E
2023-03-07,VNM,Hàng tiêu dùng,96100,95200.0,97500,94000,4.7,Đi ngang,5.6,24.1
2023-03-08,VNM,Hàng tiêu dùng,99100,98100.0,100300,97300,6.9,Giảm,5.6,24.5
2023-03-09,VNM,Hàng tiêu dùng,98000,97000.0,99200,96300,13.7,Giảm,5.6,24.0
2023-03-10,VNM,Hàng tiêu dùng,101200,99600.0,102600,98800,15.9,Giảm,5.6,24.5
2023-03-13,VNM,Hàng tiêu dùng,101200,99300.0,101600,98200,14.4,Giảm,5.6,24.3
2023-03-14,VNM,Hàng tiêu dùng,99900,99700.0,101100,98700,15.9,Đi ngang,5.6,24.1
2023-03-15,VNM,Hàng tiêu dùng,102100,101400.0,102900,100300,8.8,Đi ngang,5.5,24.4
2023-03-16,VNM,Hàng tiêu dùng,105700,104600.0,106400,104000,10.0,Giảm,5.5,24.8
2023-03-17,VNM,Hàng tiêu dùng,109600,107800.0,110900,106800,12.2,Giảm,5.5,25.1
2023-03-20,VNM,Hàng tiêu dùng,109500,,111200,109000,13.5,Đi ngang,5.5,25.3
2023-03-21,VNM,Hàng tiêu dùng,109000,109000.0,110400,107700,,Đi ngang,5.5,24.9
2023-03-22,VNM,Hàng tiêu dùng,111700,110000.0,112100,109600,13.3,Giảm,5.5,24.7
2023-03-23,VNM,Hàng tiêu dùng,114400,113000.0,115800,112500,13.5,Giảm,5.5,25.2
2023-03-24,VNM,Hàng tiêu dùng,113000,114200.0,115500,112300,7.0,Tăng,5.5,25.3
2023-03-27,VNM,Hàng tiêu dùng,116300,114900.0,116600,113700,15.5,Giảm,5.5,25.4
2023-03-28,VNM,Hàng tiêu dùng,118500,118500.0,119600,118100,5.6,Đi ngang,5.5,25.9
2023-03-29,VNM,Hàng tiêu dùng,118600,119100.0,120300,117200,7.3,Đi ngang,5.5,25.9
2023-03-30,VNM,Hàng tiêu dùng,124200,124100.0,125000,123300,17.5,Đi ngang,5.5,26.5
2023-03-31,VNM,Hàng tiêu dùng,125900,125600.0,126500,124800,13.4,Đi ngang,5.5,26.5
2023-04-03,VNM,Hàng tiêu dùng,122300,122600.0,123400,120900,14.6,Đi ngang,5.4,26.3
2023-04-04,VNM,Hàng tiêu dùng,120200,121900.0,122300,119100,6.1,Tăng,5.4,26.5
2023-04-05,VNM,Hàng tiêu dùng,122000,123600.0,124200,120800,6.7,Tăng,5.4,27.2
2023-04-06,VNM,Hàng tiêu dùng,124800,123400.0,125400,122300,15.3,Giảm,5.3,27.3
2023-04-07,VNM,Hàng tiêu dùng,123600,123500.0,125000,123000,9.0,Đi ngang,5.3,27.8
2023-04-10,VNM,Hàng tiêu dùng,120300,120900.0,121500,119400,10.2,Đi ngang,5.3,27.5
2023-04-11,VNM,Hàng tiêu dùng,117900,119200.0,120400,116700,16.1,Tăng,5.3,27.3
2023-04-12,VNM,Hàng tiêu dùng,115300,117200.0,118200,114300,3.2,Tăng,5.3,27.3
2023-04-13,VNM,Hàng tiêu dùng,120500,120100.0,120900,118900,14.0,Đi ngang,5.3,28.0
2023-04-14,VNM,Hàng tiêu dùng,114600,116200.0,117200,113900,7.4,Tăng,5.3,27.5
2023-04-17,VNM,Hàng tiêu dùng,111000,112200.0,112600,109600,12.3,Tăng,5.3,26.9
2023-04-18,VNM,Hàng tiêu dùng,110300,112100.0,112900,108800,10.0,Tăng,5.3,26.9
2023-04-19,VNM,Hàng tiêu dùng,112600,110600.0,112900,110300,8.2,Giảm,5.3,26.7
2023-04-20,VNM,Hàng tiêu dùng,107600,108700.0,110000,107300,8.5,Tăng,5.3,26.6
2023-04-21,VNM,Hàng tiêu dùng,110100,109400.0,111000,109000,14.8,Giảm,5.3,27.3
2023-04-24,VNM,Hàng tiêu dùng,108200,109300.0,110500,106700,5.8,Đi ngang,5.3,27.6
2023-04-25,VNM,Hàng tiêu dùng,110000,108100.0,110500,106800,6.5,Giảm,5.3,27.3
2023-04-26,VNM,Hàng tiêu dùng,110100,110600.0,111600,108700,20.1,Đi ngang,5.3,28.1
2023-04-27,VNM,Hàng tiêu dùng,110600,112300.0,112800,109900,9.8,Tăng,5.3,28.8
2023-04-28,VNM,Hàng tiêu dùng,113200,111300.0,114500,110000,9.7,Giảm,5.3,28.6
2023-05-01,VNM,Hàng tiêu dùng,109400,111300.0,112200,108400,15.0,Tăng,5.3,28.1
2023-05-02,VNM,Hàng tiêu dùng,110100,110000.0,111000,108700,13.3,Đi ngang,5.3,27.5
2023-05-03,VNM,Hàng tiêu dùng,111200,110000.0,111700,108700,11.6,Giảm,5.3,27.4
2023-05-04,VNM,Hàng tiêu dùng,109100,109400.0,110000,107700,5.7,Đi ngang,5.3,26.9
2023-05-05,VNM,Hàng tiêu dùng,107700,108500.0,109500,107200,4.9,Tăng,5.3,26.4
2023-05-08,VNM,Hàng tiêu dùng,109200,108200.0,109700,107700,4.9,Giảm,5.3,26.2
2023-05-09,VNM,Hàng tiêu dùng,110100,109200.0,110700,108100,8.4,Giảm,5.3,26.1
2023-05-10,VNM,Hàng tiêu dùng,113700,111800.0,114900,110900,12.6,Giảm,5.3,26.4
2023-05-11,VNM,Hàng tiêu dùng,115500,114100.0,115800,113800,15.5,Giảm,5.3,26.5
2023-05-12,VNM,Hàng tiêu dùng,118700,117900.0,119900,117300,11.9,Giảm,5.3,26.9
2023-05-15,VNM,Hàng tiêu dùng,117300,117900.0,119000,116500,11.7,Đi ngang,5.3,26.7
2023-05-16,VNM,Hàng tiêu dùng,120500,120100.0,121400,118900,14.0,Đi ngang,5.3,
2023-05-17,VNM,Hàng tiêu dùng,125500,123600.0,125900,122600,15.3,Giảm,5.3,27.2
2023-05-18,VNM,Hàng tiêu dùng,121700,121500.0,123100,120400,,Đi ngang,5.3,26.5
2023-05-19,VNM,Hàng tiêu dùng,126100,126600.0,127700,124800,14.9,Đi ngang,5.3,27.2
2023-05-22,VNM,Hàng tiêu dùng,130800,129600.0,132000,129100,8.3,Giảm,5.3,27.5
2023-05-23,VNM,Hàng tiêu dùng,128400,130300.0,130700,127600,18.1,Tăng,5.3,27.1
2023-05-24,VNM,Hàng tiêu dùng,134000,132800.0,134300,131700,6.9,Giảm,5.3,27.2
2023-05-25,VNM,Hàng tiêu dùng,138600,138000.0,139700,137100,11.1,Đi ngang,5.3,27.8
2023-05-26,VNM,Hàng tiêu dùng,136300,136500.0,137100,135800,4.1,Đi ngang,5.3,27.3
2023-05-29,VNM,Hàng tiêu dùng,133900,134300.0,135400,133300,11.4,Đi ngang,5.3,26.5
2023-05-30,VNM,Hàng tiêu dùng,136100,134100.0,137500,133500,7.2,Giảm,5.3,26.0
2023-05-31,VNM,Hàng tiêu dùng,135800,135600.0,136600,135200,10.4,Đi ngang,5.3,26.0
2023-06-01,VNM,Hàng tiêu dùng,135000,134900.0,135400,133600,3.7,Đi ngang,5.2,26.3
2023-06-02,VNM,Hàng tiêu dùng,133700,135200.0,136600,132300,16.7,Tăng,5.2,26.9
2023-06-05,VNM,Hàng tiêu dùng,136200,136400.0,137600,134700,8.9,Đi ngang,5.2,27.2
2023-06-06,VNM,Hàng tiêu dùng,134300,133300.0,135700,132500,15.8,Giảm,5.2,26.9
2023-06-07,VNM,Hàng tiêu dùng,133900,133600.0,135000,132800,14.5,Đi ngang,5.2,27.0
2023-06-08,VNM,Hàng tiêu dùng,128800,130500.0,131300,127300,,Tăng,5.2,26.9
2023-06-09,VNM,Hàng tiêu dùng,127300,126900.0,128400,126500,14.3,Đi ngang,5.2,26.6
2023-06-12,VNM,Hàng tiêu dùng,122600,123700.0,124900,122200,11.7,Tăng,5.2,26.4
2023-06-13,VNM,Hàng tiêu dùng,124200,123100.0,124800,122100,9.7,Giảm,5.2,26.5
2023-06-14,VNM,Hàng tiêu dùng,121700,122200.0,122700,121400,10.7,Tăng,5.3,26.7
2023-06-15,VNM,Hàng tiêu dùng,123400,123000.0,124100,121600,7.3,Đi ngang,5.3,27.1
2023-06-16,VNM,Hàng tiêu dùng,124400,123200.0,125800,122500,10.1,Giảm,5.3,27.4
2023-06-19,VNM,Hàng tiêu dùng,120200,121100.0,121400,119000,13.3,Tăng,5.3,27.2
2023-06-20,VNM,Hàng tiêu dùng,119100,119000.0,120600,117900,15.6,Đi ngang,5.3,27.1
2023-06-21,VNM,Hàng tiêu dùng,114300,115400.0,115700,113900,11.8,Tăng,5.3,26.4
2023-06-22,VNM,Hàng tiêu dùng,113900,113500.0,114600,112500,14.6,Đi ngang,5.3,26.4
2023-06-23,VNM,Hàng tiêu dùng,116800,115200.0,117900,114100,18.4,Giảm,5.3,26.9
2023-06-26,VNM,Hàng tiêu dùng,112300,112300.0,113500,111600,11.7,Đi ngang,5.3,26.7
2023-06-27,VNM,Hàng tiêu dùng,110000,109200.0,110600,108600,,Giảm,5.3,26.0
2023-06-28,VNM,Hàng tiêu dùng,104100,104300.0,105600,103600,16.3,Đi ngang,5.3,25.3
2023-06-29,VNM,Hàng tiêu dùng,102900,101700.0,103500,101300,18.8,Giảm,5.3,24.8
2023-06-30,VNM,Hàng tiêu dùng,98400,98300.0,99000,97700,11.2,Đi ngang,5.3,24.3
2023-07-03,VNM,Hàng tiêu dùng,99200,98500.0,100000,97500,13.7,Đi ngang,5.3,24.1
2023-07-04,VNM,Hàng tiêu dùng,98200,97400.0,99000,97000,17.5,Giảm,5.3,23.6
2023-07-05,VNM,Hàng tiêu dùng,100700,100000.0,101400,99400,14.9,Giảm,5.3,24.1
2023-07-06,VNM,Hàng tiêu dùng,101700,99800.0,102400,98900,16.0,Giảm,5.3,23.6
2023-07-07,VNM,Hàng tiêu dùng,100000,98600.0,100700,97800,20.2,Giảm,5.3,23.0
2023-07-10,VNM,Hàng tiêu dùng,99800,97900.0,101100,97200,9.6,Giảm,5.3,22.5
2023-07-11,VNM,Hàng tiêu dùng,99200,101000.0,102100,97800,7.3,Tăng,5.3,23.1
2023-07-12,VNM,Hàng tiêu dùng,102200,102800.0,103900,101800,7.6,Đi ngang,5.3,23.1
2023-07-13,VNM,Hàng tiêu dùng,102200,102400.0,103400,101200,10.0,Đi ngang,5.3,22.7
2023-07-14,VNM,Hàng tiêu dùng,98700,100200.0,100700,98200,21.2,Tăng,5.3,22.1
2023-07-17,VNM,Hàng tiêu dùng,103600,102600.0,104600,101900,10.6,Giảm,5.3,
2023-07-18,VNM,Hàng tiêu dùng,101100,103000.0,103800,100600,14.7,Tăng,5.3,22.0
2023-07-19,VNM,Hàng tiêu dùng,103700,103200.0,104000,102500,16.5,Giảm,5.3,21.7
2023-07-20,VNM,Hàng tiêu dùng,103800,104900.0,105400,102700,10.2,Tăng,5.3,22.0
2023-07-21,VNM,Hàng tiêu dùng,109100,108200.0,109800,106900,9.9,Giảm,5.4,22.3
2023-07-24,VNM,Hàng tiêu dùng,114200,112400.0,114900,111900,9.7,Giảm,5.4,22.7
2023-07-25,VNM,Hàng tiêu dùng,114700,115800.0,116300,113400,9.8,Tăng,5.4,23.0
2023-07-26,VNM,Hàng tiêu dùng,117000,116400.0,117400,115800,13.9,Giảm,5.4,22.8
2023-07-27,VNM,Hàng tiêu dùng,118900,118300.0,120200,117000,9.4,Đi ngang,5.4,23.1
2023-07-28,VNM,Hàng tiêu dùng,123000,122200.0,123300,121600,9.7,Giảm,5.4,23.5
2023-07-31,VNM,Hàng tiêu dùng,120800,122100.0,123200,120200,5.0,Tăng,5.4,23.1
2023-08-01,VNM,Hàng tiêu dùng,123300,123500.0,124100,121800,11.9,Đi ngang,5.4,23.6
2023-08-02,VNM,Hàng tiêu dùng,120600,120800.0,121800,119200,5.1,Đi ngang,5.4,23.5
2023-08-03,VNM,Hàng tiêu dùng,120300,121500.0,122700,119100,16.6,Tăng,5.4,23.6
2023-08-04,VNM,Hàng tiêu dùng,118100,120000.0,120500,117500,6.5,Tăng,5.4,23.8
2023-08-07,VNM,Hàng tiêu dùng,113400,114900.0,115500,112000,12.5,Tăng,5.4,23.1
2023-08-08,VNM,Hàng tiêu dùng,115500,114300.0,116900,112900,6.0,Đi ngang,5.4,23.2
2023-08-09,VNM,Hàng tiêu dùng,110500,111300.0,111800,109700,7.5,Tăng,5.4,22.7
2023-08-10,VNM,Hàng tiêu dùng,108100,109900.0,111200,106800,12.6,Tăng,5.4,22.7
2023-08-11,VNM,Hàng tiêu dùng,112400,110400.0,113800,109400,6.6,Giảm,5.4,22.9
2023-08-14,VNM,Hàng tiêu dùng,110000,108400.0,110700,107100,18.2,Giảm,5.4,22.6
2023-08-15,VNM,Hàng tiêu dùng,105300,106800.0,107200,104000,5.6,Tăng,5.4,22.4
2023-08-16,VNM,Hàng tiêu dùng,106300,107100.0,107900,104900,7.5,Đi ngang,5.4,22.6
2023-08-17,VNM,Hàng tiêu dùng,110000,109400.0,110800,108300,19.7,Đi ngang,5.4,23.1
2023-08-18,VNM,Hàng tiêu dùng,108900,107500.0,109300,106100,6.6,Giảm,5.4,22.7
2023-08-21,VNM,Hàng tiêu dùng,103500,102900.0,104100,101900,13.8,Đi ngang,5.4,22.1
2023-08-22,VNM,Hàng tiêu dùng,103500,102900.0,104300,101700,13.7,Đi ngang,5.5,22.1
2023-08-23,VNM,Hàng tiêu dùng,98600,100100.0,101300,98000,15.8,Tăng,5.4,21.9
2023-08-24,VNM,Hàng tiêu dùng,99500,101100.0,102100,98800,16.2,Tăng,5.4,22.5
2023-08-25,VNM,Hàng tiêu dùng,97800,96900.0,99200,95700,7.8,Đi ngang,5.4,21.9
2023-08-28,VNM,Hàng tiêu dùng,94700,94800.0,95600,93300,4.1,Đi ngang,5.4,21.5
2023-08-29,VNM,Hàng tiêu dùng,96500,95400.0,97100,94600,14.0,Giảm,5.4,21.7
2023-08-30,VNM,Hàng tiêu dùng,95400,96500.0,97100,94900,10.2,Tăng,5.4,22.3
2023-08-31,VNM,Hàng tiêu dùng,97300,97100.0,98800,95700,4.6,Đi ngang,5.4,22.7
2023-09-01,VNM,Hàng tiêu dùng,95400,95700.0,96300,94100,17.4,Đi ngang,5.4,22.1
2023-09-04,VNM,Hàng tiêu dùng,92500,94500.0,95500,92000,19.1,Tăng,5.4,21.5
2023-09-05,VNM,Hàng tiêu dùng,96000,94300.0,97000,92800,9.7,Giảm,5.4,21.3
2023-09-06,VNM,Hàng tiêu dùng,93900,95600.0,96000,92700,5.7,Tăng,5.4,21.5
2023-09-07,VNM,Hàng tiêu dùng,98300,99000.0,99700,97900,10.9,Tăng,5.4,22.1
2023-09-08,VNM,Hàng tiêu dùng,100000,100500.0,101300,99000,7.3,Đi ngang,5.4,22.3
2023-09-11,VNM,Hàng tiêu dùng,102700,103500.0,104600,101200,6.0,Đi ngang,5.4,22.6
2023-09-12,VNM,Hàng tiêu dùng,103700,104000.0,105300,102600,5.9,Đi ngang,5.4,22.3
2023-09-13,VNM,Hàng tiêu dùng,105300,105000.0,105700,103500,13.6,Đi ngang,5.4,22.2
2023-09-14,VNM,Hàng tiêu dùng,106700,107600.0,109000,105900,4.6,Đi ngang,5.3,22.5
2023-09-15,VNM,Hàng tiêu dùng,106000,106300.0,107600,104600,12.2,Đi ngang,5.3,22.0
2023-09-18,VNM,Hàng tiêu dùng,103500,104900.0,105600,102700,20.1,Tăng,5.3,21.6
2023-09-19,VNM,Hàng tiêu dùng,102000,103200.0,104200,101000,16.9,Tăng,5.3,21.2
2023-09-20,VNM,Hàng tiêu dùng,103900,104300.0,104800,102600,8.6,Đi ngang,5.3,21.3
2023-09-21,VNM,Hàng tiêu dùng,106000,104200.0,106600,103800,17.9,Giảm,5.3,
2023-09-22,VNM,Hàng tiêu dùng,103300,,105000,102200,16.9,Tăng,5.3,20.9
2023-09-25,VNM,Hàng tiêu dùng,102100,103800.0,105100,100800,10.3,Tăng,5.3,20.6
2023-09-26,VNM,Hàng tiêu dùng,104200,102700.0,105600,101900,9.3,Giảm,5.3,20.0
2023-09-27,VNM,Hàng tiêu dùng,106200,105900.0,107000,105200,19.8,Đi ngang,5.3,20.4
2023-09-28,VNM,Hàng tiêu dùng,104600,105600.0,106600,103400,7.5,Tăng,5.3,19.9
2023-09-29,VNM,Hàng tiêu dùng,102900,103300.0,104100,101900,11.2,Đi ngang,5.2,19.3
2023-10-02,VNM,Hàng tiêu dùng,100600,100200.0,101600,99300,10.6,Đi ngang,5.2,19.1
2023-10-03,VNM,Hàng tiêu dùng,102400,101600.0,103800,100500,21.4,Đi ngang,5.2,19.6
2023-10-04,VNM,Hàng tiêu dùng,99700,100900.0,102000,99100,5.1,Tăng,5.2,19.6
2023-10-05,VNM,Hàng tiêu dùng,98800,99400.0,100400,98100,4.8,Đi ngang,5.1,19.6
2023-10-06,VNM,Hàng tiêu dùng,101400,99600.0,102200,99000,11.8,Giảm,5.1,19.6
2023-10-09,VNM,Hàng tiêu dùng,95400,97100.0,97700,94700,14.1,Tăng,5.1,19.4
2023-10-10,VNM,Hàng tiêu dùng,95100,96800.0,97700,94000,7.7,Tăng,5.1,19.5
2023-10-11,VNM,Hàng tiêu dùng,96300,97900.0,98500,95800,17.3,Tăng,5.1,20.1
2023-10-12,VNM,Hàng tiêu dùng,95700,94800.0,96700,93800,9.8,Giảm,5.1,19.7
2023-10-13,VNM,Hàng tiêu dùng,94000,92200.0,94400,91100,11.8,Giảm,5.1,19.4
2023-10-16,VNM,Hàng tiêu dùng,91100,89100.0,91700,88300,9.0,Giảm,5.1,18.9
2023-10-17,VNM,Hàng tiêu dùng,87500,86000.0,88100,85200,14.1,Giảm,5.1,18.5
2023-10-18,VNM,Hàng tiêu dùng,84800,85600.0,86400,84200,7.7,Tăng,5.1,18.6
2023-10-19,VNM,Hàng tiêu dùng,87000,85200.0,87400,83700,13.4,Giảm,5.1,18.5
2023-10-20,VNM,Hàng tiêu dùng,85200,84000.0,86600,83700,9.0,Giảm,5.1,18.3
2023-10-23,VNM,Hàng tiêu dùng,81800,82600.0,83200,80300,13.7,Đi ngang,5.1,18.4
2023-10-24,VNM,Hàng tiêu dùng,84800,84100.0,85700,83300,16.0,Đi ngang,5.1,18.8
2023-10-25,VNM,Hàng tiêu dùng,84000,82200.0,85500,81900,18.7,Giảm,5.1,18.5
2023-10-26,VNM,Hàng tiêu dùng,83600,82500.0,85100,82100,6.5,Giảm,5.1,18.6
2023-10-27,VNM,Hàng tiêu dùng,83600,83600.0,84600,82800,12.6,Đi ngang,5.1,19.1
2023-10-30,VNM,Hàng tiêu dùng,82100,80400.0,83500,79700,21.0,Giảm,5.1,
2023-10-31,VNM,Hàng tiêu dùng,82600,81000.0,83200,80600,13.3,Giảm,5.0,18.8
2023-11-01,VNM,Hàng tiêu dùng,82900,84400.0,85500,81600,5.0,Tăng,5.0,19.2
2023-11-02,VNM,Hàng tiêu dùng,87600,86900.0,88600,86100,15.1,Đi ngang,5.0,19.5
2023-11-03,VNM,Hàng tiêu dùng,85400,87100.0,87700,84800,10.1,Tăng,5.0,19.2
2023-11-06,VNM,Hàng tiêu dùng,88100,88600.0,89600,87000,4.6,Đi ngang,5.0,
2023-11-07,VNM,Hàng tiêu dùng,90400,89300.0,90700,88900,8.4,Giảm,5.0,19.3
2023-11-08,VNM,Hàng tiêu dùng,88400,89000.0,89800,87100,12.9,Đi ngang,5.0,19.2
2023-11-09,VNM,Hàng tiêu dùng,89300,89700.0,90600,88800,11.8,Đi ngang,5.0,19.0
2023-11-10,VNM,Hàng tiêu dùng,92900,92600.0,93700,91500,5.5,Đi ngang,5.0,19.5
2023-11-13,VNM,Hàng tiêu dùng,94000,94600.0,96000,93500,5.6,Đi ngang,5.0,19.9
2023-11-14,VNM,Hàng tiêu dùng,94600,96500.0,97200,94000,12.8,Tăng,5.0,19.9
2023-11-15,VNM,Hàng tiêu dùng,97600,95900.0,97900,95100,12.8,Giảm,5.0,19.7
2023-11-16,VNM,Hàng tiêu dùng,97600,98600.0,99700,96800,15.7,Tăng,5.0,20.1
2023-11-17,VNM,Hàng tiêu dùng,100800,101700.0,102300,99500,13.6,Tăng,5.0,20.7
2023-11-20,VNM,Hàng tiêu dùng,105200,103300.0,106700,103000,,Giảm,5.0,20.9
2023-11-21,VNM,Hàng tiêu dùng,103900,105700.0,106600,103200,13.9,Tăng,5.0,21.0
2023-11-22,VNM,Hàng tiêu dùng,101700,103600.0,104900,101000,18.7,Tăng,5.0,20.5
2023-11-23,VNM,Hàng tiêu dùng,103100,104500.0,105000,102200,18.5,Tăng,5.0,20.3
2023-11-24,VNM,Hàng tiêu dùng,104000,103800.0,105400,103000,6.8,Đi ngang,5.0,20.2
2023-11-27,VNM,Hàng tiêu dùng,108000,107600.0,109300,106200,11.7,Đi ngang,5.0,20.7
2023-11-28,VNM,Hàng tiêu dùng,112700,111400.0,113800,110200,5.6,Giảm,5.0,21.1
2023-11-29,VNM,Hàng tiêu dùng,112000,110900.0,113000,109900,8.2,Giảm,5.0,20.6
2023-11-30,VNM,Hàng tiêu dùng,112400,111800.0,113000,111000,14.5,Đi ngang,5.0,20.7
2023-12-01,VNM,Hàng tiêu dùng,113400,112800.0,114600,112000,13.8,Đi ngang,5.0,21.0
2023-12-04,VNM,Hàng tiêu dùng,107800,109500.0,110700,107000,8.0,Tăng,5.0,20.6
2023-12-05,VNM,Hàng tiêu dùng,111300,109500.0,112500,108200,18.9,Giảm,5.0,20.9
2023-12-06,VNM,Hàng tiêu dùng,105900,104600.0,106600,103200,10.5,Giảm,5.0,20.3
2023-12-07,VNM,Hàng tiêu dùng,100200,101000.0,101500,99200,18.7,Tăng,5.0,19.8
2023-12-08,VNM,Hàng tiêu dùng,96500,98000.0,99000,95300,5.7,Tăng,5.0,19.6
2023-12-11,VNM,Hàng tiêu dùng,101900,100800.0,102800,100300,19.1,Giảm,5.0,20.2
2023-12-12,VNM,Hàng tiêu dùng,101100,101700.0,102700,100100,10.7,Đi ngang,5.0,20.4
2023-12-13,VNM,Hàng tiêu dùng,100300,98900.0,101700,97700,16.9,Giảm,5.0,20.0
2023-12-14,VNM,Hàng tiêu dùng,96200,98100.0,98500,95200,14.6,Tăng,5.0,19.9
2023-12-15,VNM,Hàng tiêu dùng,98800,98400.0,99400,98000,,Đi ngang,5.0,20.2
2023-12-18,VNM,Hàng tiêu dùng,94100,95600.0,96900,93400,20.4,Tăng,5.0,19.8
2023-12-19,VNM,Hàng tiêu dùng,95400,94500.0,96100,93700,17.7,Giảm,5.0,19.9
